time_ps,voltage
22.4,0.635141
22.5,0.63587
22.6,0.636591
22.7,0.637304
22.8,0.638009
22.9,0.638706
23,0.639395
23.1,0.640076
23.2,0.64075
23.3,0.641416
23.4,0.642075
23.5,0.642726
23.6,0.64337
23.7,0.644007
23.8,0.644636
23.9,0.645259
24,0.645874
24.1,0.646483
24.2,0.647085
24.3,0.64768
24.4,0.648268
24.5,0.64885
24.6,0.649425
24.7,0.649993
24.8,0.650556
24.9,0.651112
25,0.651661
25.1,0.652205
25.2,0.652742
25.3,0.653274
25.4,0.653799
25.5,0.654319
25.6,0.654832
25.7,0.65534
25.8,0.655842
25.9,0.656339
26,0.65683
26.1,0.657315
26.2,0.657795
26.3,0.65827
26.4,0.658739
26.5,0.659203
26.6,0.659662
26.7,0.660116
26.8,0.660564
26.9,0.661008
27,0.661446
27.1,0.66188
27.2,0.662308
27.3,0.662732
27.4,0.663151
27.5,0.663566
27.6,0.663975
27.7,0.66438
27.8,0.664781
27.9,0.665177
28,0.665569
28.1,0.665956
28.2,0.666339
28.3,0.666717
28.4,0.667091
28.5,0.667462
28.6,0.667827
28.7,0.668189
28.8,0.668547
28.9,0.668901
29,0.66925
29.1,0.669596
29.2,0.669938
29.3,0.670276
29.4,0.67061
29.5,0.670941
29.6,0.671268
29.7,0.671591
29.8,0.67191
29.9,0.672226
30,0.672539
30.1,0.672847
30.2,0.673153
30.3,0.673455
30.4,0.673753
30.5,0.674048
30.6,0.67434
30.7,0.674629
30.8,0.674914
30.9,0.675196
31,0.675475
31.1,0.675751
31.2,0.676024
31.3,0.676293
31.4,0.67656
31.5,0.676823
31.6,0.677084
31.7,0.677342
31.8,0.677597
31.9,0.677849
32,0.678098
32.1,0.678344
32.2,0.678588
32.3,0.678828
32.4,0.679066
32.5,0.679302
32.6,0.679535
32.7,0.679765
32.8,0.679992
32.9,0.680217
33,0.68044
33.1,0.68066
33.2,0.680877
33.3,0.681092
33.4,0.681305
33.5,0.681515
33.6,0.681723
33.7,0.681929
33.8,0.682132
33.9,0.682333
34,0.682531
34.1,0.682728
34.2,0.682922
34.3,0.683114
34.4,0.683304
34.5,0.683492
34.6,0.683678
34.7,0.683861
34.8,0.684043
34.9,0.684222
35,0.684399
35.1,0.684575
35.2,0.684748
35.3,0.68492
35.4,0.68509
35.5,0.685257
35.6,0.685423
35.7,0.685587
35.8,0.685749
35.9,0.685909
36,0.686068
36.1,0.686224
36.2,0.686379
36.3,0.686533
36.4,0.686684
36.5,0.686834
36.6,0.686982
36.7,0.687128
36.8,0.687273
36.9,0.687416
37,0.687558
37.1,0.687698
37.2,0.687836
37.3,0.687973
37.4,0.688108
37.5,0.688242
37.6,0.688374
37.7,0.688505
37.8,0.688634
37.9,0.688762
38,0.688888
38.1,0.689013
38.2,0.689137
38.3,0.689259
38.4,0.68938
38.5,0.689499
38.6,0.689278
38.7,0.688736
38.8,0.687889
38.9,0.686755
39,0.685349
39.1,0.683687
39.2,0.681784
39.3,0.679653
39.4,0.677308
39.5,0.674761
39.6,0.672024
39.7,0.669109
39.8,0.666027
39.9,0.662789
6.52697e-13,0.659404
0.1,0.655882
0.2,0.652232
0.3,0.648463
0.4,0.644582
0.5,0.640598
0.6,0.636519
0.7,0.632351
0.8,0.628101
0.9,0.623776
1,0.619381
1.1,0.614923
1.2,0.610407
1.3,0.605839
1.4,0.601223
1.5,0.596565
1.6,0.591868
1.7,0.587138
1.8,0.582378
1.9,0.577592
2,0.572784
2.1,0.567958
2.2,0.563116
2.3,0.558262
2.4,0.553399
2.5,0.54853
2.6,0.543657
2.7,0.538783
2.8,0.533911
2.9,0.529043
3,0.52418
3.1,0.519325
3.2,0.51448
3.3,0.509647
3.4,0.504827
3.5,0.500022
3.6,0.495233
3.7,0.490463
3.8,0.485711
3.9,0.48098
4,0.476271
4.1,0.471585
4.2,0.466923
4.3,0.462285
4.4,0.457673
4.5,0.453088
4.6,0.44853
4.7,0.444
4.8,0.439499
4.9,0.435028
5,0.430586
5.1,0.426175
5.2,0.421796
5.3,0.417447
5.4,0.413131
5.5,0.408846
5.6,0.404595
5.7,0.400376
5.8,0.39619
5.9,0.392038
6,0.38792
6.1,0.383835
6.2,0.379784
6.3,0.375768
6.4,0.371785
6.5,0.367837
6.6,0.363923
6.7,0.360044
6.8,0.356199
6.9,0.352389
7,0.348613
7.1,0.344871
7.2,0.341164
7.3,0.337491
7.4,0.333853
7.5,0.330248
7.6,0.326678
7.7,0.323141
7.8,0.319639
7.9,0.31617
8,0.312735
8.1,0.309333
8.2,0.305965
8.3,0.302629
8.4,0.299327
8.5,0.296057
8.6,0.29282
8.7,0.289616
8.8,0.286443
8.9,0.283303
9,0.280195
9.1,0.277118
9.2,0.274072
9.3,0.271058
9.4,0.268075
9.5,0.265122
9.6,0.2622
9.7,0.259309
9.8,0.256447
9.9,0.253615
10,0.250813
10.1,0.24804
10.2,0.245296
10.3,0.242582
10.4,0.239895
10.5,0.237238
10.6,0.234608
10.7,0.232006
10.8,0.229432
10.9,0.226886
11,0.224366
11.1,0.221874
11.2,0.219408
11.3,0.216969
11.4,0.214556
11.5,0.212169
11.6,0.209807
11.7,0.207472
11.8,0.205161
11.9,0.202875
12,0.200614
12.1,0.198378
12.2,0.196166
12.3,0.193978
12.4,0.191814
12.5,0.189674
12.6,0.187556
12.7,0.185462
12.8,0.183391
12.9,0.181343
13,0.179317
13.1,0.177313
13.2,0.175331
13.3,0.173371
13.4,0.171432
13.5,0.169515
13.6,0.167619
13.7,0.165744
13.8,0.163889
13.9,0.162055
14,0.160241
14.1,0.158447
14.2,0.156673
14.3,0.154919
14.4,0.153184
14.5,0.151468
14.6,0.149771
14.7,0.148093
14.8,0.146434
14.9,0.144793
15,0.14317
15.1,0.141565
15.2,0.139978
15.3,0.138409
15.4,0.136857
15.5,0.135322
15.6,0.133805
15.7,0.132304
15.8,0.13082
15.9,0.129353
16,0.127902
16.1,0.126467
16.2,0.125048
16.3,0.123644
16.4,0.122257
16.5,0.120885
16.6,0.119528
16.7,0.118187
16.8,0.11686
16.9,0.115548
17,0.114251
17.1,0.112968
17.2,0.1117
17.3,0.110446
17.4,0.109206
17.5,0.107979
17.6,0.106767
17.7,0.105568
17.8,0.104382
17.9,0.10321
18,0.102051
18.1,0.100904
18.2,0.0997709
18.3,0.0986502
18.4,0.097542
18.5,0.0964462
